id,node_name,resource_name,value,unit,pos_x,pos_y,pos_z,timestamp,time_of_collection,seconds_in_day,timestamp_unix,time_of_collection_unix,relative_position
30434,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 01:38,04-01-2016 01:39,5980,1459467488,1459467580,office B
30435,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 01:36,04-01-2016 01:39,5980,1459467391,1459467580,office A
30436,SGoAs5,illuminance at SGoAs5,155,lux,2.4,11.55,3.9,04-01-2016 01:37,04-01-2016 01:39,5980,1459467433,1459467580,office A
30437,SGoAs4,illuminance at SGoAs4,117,lux,2.4,13.55,3.9,04-01-2016 01:36,04-01-2016 01:39,5980,1459467407,1459467580,office A
30438,SGoAs3,illuminance at SGoAs3,147,lux,2.4,17.6,1.45,04-01-2016 01:39,04-01-2016 01:39,5981,1459467557,1459467581,office A
30439,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 01:37,04-01-2016 01:39,5981,1459467434,1459467581,office A
30440,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 01:35,04-01-2016 01:39,5981,1459467346,1459467581,office A
30441,SGoBs5,illuminance at SGoBs5,128,lux,2.4,4.05,0,04-01-2016 01:55,04-01-2016 01:59,7181,1459468540,1459468781,office B
30442,SGoBs4,illuminance at SGoBs4,125,lux,2.4,2.05,0,04-01-2016 01:54,04-01-2016 01:59,7181,1459468455,1459468781,office B
30443,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 01:55,04-01-2016 01:59,7181,1459468532,1459468781,office A
30444,SGoAs5,illuminance at SGoAs5,155,lux,2.4,11.55,3.9,04-01-2016 01:57,04-01-2016 01:59,7181,1459468670,1459468781,office A
30445,SGoAs4,illuminance at SGoAs4,117,lux,2.4,13.55,3.9,04-01-2016 01:55,04-01-2016 01:59,7181,1459468520,1459468781,office A
30446,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 01:58,04-01-2016 01:59,7181,1459468680,1459468781,office A
30447,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 01:57,04-01-2016 01:59,7182,1459468673,1459468782,office A
30448,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 01:57,04-01-2016 01:59,7182,1459468627,1459468782,office A
30449,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 02:12,04-01-2016 02:19,8382,1459469577,1459469982,office B
30450,SGoBs4,illuminance at SGoBs4,125,lux,2.4,2.05,0,04-01-2016 02:18,04-01-2016 02:19,8382,1459469902,1459469982,office B
30451,SGoAs6,illuminance at SGoAs6,131,lux,2.4,9.05,1.45,04-01-2016 02:15,04-01-2016 02:19,8382,1459469716,1459469982,office A
30452,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 02:15,04-01-2016 02:19,8382,1459469738,1459469982,office A
30453,SGoAs4,illuminance at SGoAs4,117,lux,2.4,13.55,3.9,04-01-2016 02:16,04-01-2016 02:19,8382,1459469767,1459469982,office A
30454,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 02:14,04-01-2016 02:19,8382,1459469668,1459469982,office A
30455,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 02:15,04-01-2016 02:19,8383,1459469708,1459469983,office A
30456,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 02:16,04-01-2016 02:19,8383,1459469800,1459469983,office A
30457,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 02:39,04-01-2016 02:39,9583,1459471161,1459471183,office B
30458,SGoBs4,illuminance at SGoBs4,125,lux,2.4,2.05,0,04-01-2016 02:38,04-01-2016 02:39,9583,1459471085,1459471183,office B
30459,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 02:38,04-01-2016 02:39,9583,1459471138,1459471183,office A
30460,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 02:38,04-01-2016 02:39,9583,1459471131,1459471183,office A
30461,SGoAs4,illuminance at SGoAs4,115,lux,2.4,13.55,3.9,04-01-2016 02:36,04-01-2016 02:39,9583,1459470994,1459471183,office A
30462,SGoAs3,illuminance at SGoAs3,147,lux,2.4,17.6,1.45,04-01-2016 02:34,04-01-2016 02:39,9583,1459470846,1459471183,office A
30463,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 02:32,04-01-2016 02:39,9583,1459470725,1459471183,office A
30464,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 02:36,04-01-2016 02:39,9584,1459470971,1459471184,office A
30465,SGoBs5,illuminance at SGoBs5,131,lux,2.4,4.05,0,04-01-2016 02:57,04-01-2016 02:59,10784,1459472261,1459472384,office B
30466,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 02:57,04-01-2016 02:59,10784,1459472223,1459472384,office B
30467,SGoAs6,illuminance at SGoAs6,131,lux,2.4,9.05,1.45,04-01-2016 02:54,04-01-2016 02:59,10784,1459472040,1459472384,office A
30468,SGoAs5,illuminance at SGoAs5,155,lux,2.4,11.55,3.9,04-01-2016 02:56,04-01-2016 02:59,10784,1459472215,1459472384,office A
30469,SGoAs4,illuminance at SGoAs4,114,lux,2.4,13.55,3.9,04-01-2016 02:54,04-01-2016 02:59,10784,1459472053,1459472384,office A
30470,SGoAs3,illuminance at SGoAs3,147,lux,2.4,17.6,1.45,04-01-2016 02:57,04-01-2016 02:59,10784,1459472242,1459472384,office A
30471,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 02:56,04-01-2016 02:59,10784,1459472161,1459472384,office A
30472,SGoAs1,illuminance at SGoAs1,121,lux,2.4,11.55,0,04-01-2016 02:58,04-01-2016 02:59,10785,1459472305,1459472385,office A
30473,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 03:13,04-01-2016 03:19,11985,1459473211,1459473585,office B
30474,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 03:16,04-01-2016 03:19,11985,1459473405,1459473585,office B
30475,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 03:16,04-01-2016 03:19,11985,1459473408,1459473585,office A
30476,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 03:19,04-01-2016 03:19,11985,1459473555,1459473585,office A
30477,SGoAs4,illuminance at SGoAs4,117,lux,2.4,13.55,3.9,04-01-2016 03:17,04-01-2016 03:19,11985,1459473461,1459473585,office A
30478,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 03:17,04-01-2016 03:19,11985,1459473458,1459473585,office A
30479,SGoAs2,illuminance at SGoAs2,91,lux,2.4,13.55,0,04-01-2016 03:18,04-01-2016 03:19,11985,1459473505,1459473585,office A
30480,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 03:16,04-01-2016 03:19,11986,1459473400,1459473586,office A
30481,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 03:37,04-01-2016 03:39,13186,1459474635,1459474786,office B
30482,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 03:39,04-01-2016 03:39,13186,1459474743,1459474786,office B
30483,SGoAs6,illuminance at SGoAs6,125,lux,2.4,9.05,1.45,04-01-2016 03:36,04-01-2016 03:39,13186,1459474615,1459474786,office A
30484,SGoAs5,illuminance at SGoAs5,152,lux,2.4,11.55,3.9,04-01-2016 03:38,04-01-2016 03:39,13186,1459474734,1459474786,office A
30485,SGoAs4,illuminance at SGoAs4,115,lux,2.4,13.55,3.9,04-01-2016 03:37,04-01-2016 03:39,13186,1459474632,1459474786,office A
30486,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 03:37,04-01-2016 03:39,13186,1459474634,1459474786,office A
30487,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 03:34,04-01-2016 03:39,13186,1459474479,1459474786,office A
30488,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 03:36,04-01-2016 03:39,13186,1459474612,1459474786,office A
30489,SGoBs5,illuminance at SGoBs5,131,lux,2.4,4.05,0,04-01-2016 03:58,04-01-2016 03:59,14387,1459475898,1459475987,office B
30490,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 03:54,04-01-2016 03:59,14387,1459475689,1459475987,office B
30491,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 03:57,04-01-2016 03:59,14387,1459475835,1459475987,office A
30492,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 03:58,04-01-2016 03:59,14387,1459475922,1459475987,office A
30493,SGoAs4,illuminance at SGoAs4,114,lux,2.4,13.55,3.9,04-01-2016 03:56,04-01-2016 03:59,14387,1459475808,1459475987,office A
30494,SGoAs3,illuminance at SGoAs3,147,lux,2.4,17.6,1.45,04-01-2016 03:55,04-01-2016 03:59,14387,1459475745,1459475987,office A
30495,SGoAs2,illuminance at SGoAs2,87,lux,2.4,13.55,0,04-01-2016 03:54,04-01-2016 03:59,14387,1459475678,1459475987,office A
30496,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 03:57,04-01-2016 03:59,14387,1459475827,1459475987,office A
30497,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 04:16,04-01-2016 04:19,15588,1459476969,1459477188,office B
30498,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 04:16,04-01-2016 04:19,15588,1459476982,1459477188,office B
30499,SGoAs6,illuminance at SGoAs6,131,lux,2.4,9.05,1.45,04-01-2016 04:14,04-01-2016 04:19,15588,1459476888,1459477188,office A
30500,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 04:14,04-01-2016 04:19,15588,1459476844,1459477188,office A
30501,SGoAs4,illuminance at SGoAs4,115,lux,2.4,13.55,3.9,04-01-2016 04:19,04-01-2016 04:19,15588,1459477155,1459477188,office A
30502,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 04:16,04-01-2016 04:19,15588,1459476985,1459477188,office A
30503,SGoAs2,illuminance at SGoAs2,84,lux,2.4,13.55,0,04-01-2016 04:13,04-01-2016 04:19,15588,1459476797,1459477188,office A
30504,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 04:16,04-01-2016 04:19,15588,1459476984,1459477188,office A
30505,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 04:34,04-01-2016 04:39,16789,1459478079,1459478389,office B
30506,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 04:34,04-01-2016 04:39,16789,1459478073,1459478389,office B
30507,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 04:36,04-01-2016 04:39,16789,1459478216,1459478389,office A
30508,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 04:38,04-01-2016 04:39,16789,1459478329,1459478389,office A
30509,SGoAs4,illuminance at SGoAs4,118,lux,2.4,13.55,3.9,04-01-2016 04:37,04-01-2016 04:39,16789,1459478273,1459478389,office A
30510,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 04:34,04-01-2016 04:39,16789,1459478056,1459478389,office A
30511,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 04:35,04-01-2016 04:39,16789,1459478114,1459478389,office A
30512,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 04:35,04-01-2016 04:39,16789,1459478117,1459478389,office A
30513,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 04:54,04-01-2016 04:59,17990,1459479272,1459479590,office B
30514,SGoBs4,illuminance at SGoBs4,125,lux,2.4,2.05,0,04-01-2016 04:57,04-01-2016 04:59,17990,1459479452,1459479590,office B
30515,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 04:55,04-01-2016 04:59,17990,1459479338,1459479590,office A
30516,SGoAs5,illuminance at SGoAs5,155,lux,2.4,11.55,3.9,04-01-2016 04:58,04-01-2016 04:59,17990,1459479536,1459479590,office A
30517,SGoAs4,illuminance at SGoAs4,112,lux,2.4,13.55,3.9,04-01-2016 04:53,04-01-2016 04:59,17990,1459479206,1459479590,office A
30518,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 04:57,04-01-2016 04:59,17990,1459479420,1459479590,office A
30519,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 04:57,04-01-2016 04:59,17990,1459479471,1459479590,office A
30520,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 04:58,04-01-2016 04:59,17990,1459479486,1459479590,office A
30521,SGoBs5,illuminance at SGoBs5,128,lux,2.4,4.05,0,04-01-2016 05:17,04-01-2016 05:19,19191,1459480622,1459480791,office B
30522,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 05:18,04-01-2016 05:19,19191,1459480735,1459480791,office B
30523,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 05:14,04-01-2016 05:19,19191,1459480458,1459480791,office A
30524,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 05:15,04-01-2016 05:19,19191,1459480516,1459480791,office A
30525,SGoAs4,illuminance at SGoAs4,117,lux,2.4,13.55,3.9,04-01-2016 05:14,04-01-2016 05:19,19191,1459480483,1459480791,office A
30526,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 05:19,04-01-2016 05:19,19191,1459480763,1459480791,office A
30527,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 05:13,04-01-2016 05:19,19191,1459480416,1459480791,office A
30528,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 05:14,04-01-2016 05:19,19191,1459480445,1459480791,office A
30529,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 05:33,04-01-2016 05:39,20391,1459481613,1459481991,office B
30530,SGoBs4,illuminance at SGoBs4,125,lux,2.4,2.05,0,04-01-2016 05:38,04-01-2016 05:39,20392,1459481900,1459481992,office B
30531,SGoAs6,illuminance at SGoAs6,131,lux,2.4,9.05,1.45,04-01-2016 05:36,04-01-2016 05:39,20392,1459481765,1459481992,office A
30532,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 05:32,04-01-2016 05:39,20392,1459481569,1459481992,office A
30533,SGoAs4,illuminance at SGoAs4,115,lux,2.4,13.55,3.9,04-01-2016 05:37,04-01-2016 05:39,20392,1459481827,1459481992,office A
30534,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 05:34,04-01-2016 05:39,20392,1459481663,1459481992,office A
30535,SGoAs2,illuminance at SGoAs2,87,lux,2.4,13.55,0,04-01-2016 05:37,04-01-2016 05:39,20392,1459481875,1459481992,office A
30536,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 05:38,04-01-2016 05:39,20392,1459481935,1459481992,office A
30537,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 05:55,04-01-2016 05:59,21592,1459482957,1459483192,office B
30538,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 05:53,04-01-2016 05:59,21592,1459482792,1459483192,office B
30539,SGoAs6,illuminance at SGoAs6,131,lux,2.4,9.05,1.45,04-01-2016 05:55,04-01-2016 05:59,21593,1459482959,1459483193,office A
30540,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 05:55,04-01-2016 05:59,21593,1459482942,1459483193,office A
30541,SGoAs4,illuminance at SGoAs4,117,lux,2.4,13.55,3.9,04-01-2016 05:55,04-01-2016 05:59,21593,1459482913,1459483193,office A
30542,SGoAs3,illuminance at SGoAs3,147,lux,2.4,17.6,1.45,04-01-2016 05:57,04-01-2016 05:59,21593,1459483067,1459483193,office A
30543,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 05:56,04-01-2016 05:59,21593,1459482978,1459483193,office A
30544,SGoAs1,illuminance at SGoAs1,121,lux,2.4,11.55,0,04-01-2016 05:57,04-01-2016 05:59,21593,1459483046,1459483193,office A
30545,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 06:18,04-01-2016 06:19,22793,1459484327,1459484393,office B
30546,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 06:18,04-01-2016 06:19,22793,1459484307,1459484393,office B
30547,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 06:19,04-01-2016 06:19,22794,1459484365,1459484394,office A
30548,SGoAs5,illuminance at SGoAs5,155,lux,2.4,11.55,3.9,04-01-2016 06:17,04-01-2016 06:19,22794,1459484221,1459484394,office A
30549,SGoAs4,illuminance at SGoAs4,117,lux,2.4,13.55,3.9,04-01-2016 06:14,04-01-2016 06:19,22794,1459484095,1459484394,office A
30550,SGoAs3,illuminance at SGoAs3,150,lux,2.4,17.6,1.45,04-01-2016 06:19,04-01-2016 06:19,22794,1459484360,1459484394,office A
30551,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 06:14,04-01-2016 06:19,22794,1459484062,1459484394,office A
30552,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 06:12,04-01-2016 06:19,22794,1459483940,1459484394,office A
30553,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 06:35,04-01-2016 06:39,23994,1459485345,1459485594,office B
30554,SGoBs4,illuminance at SGoBs4,122,lux,2.4,2.05,0,04-01-2016 06:36,04-01-2016 06:39,23994,1459485417,1459485594,office B
30555,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 06:38,04-01-2016 06:39,23994,1459485506,1459485594,office A
30556,SGoAs5,illuminance at SGoAs5,155,lux,2.4,11.55,3.9,04-01-2016 06:33,04-01-2016 06:39,23995,1459485220,1459485595,office A
30557,SGoAs4,illuminance at SGoAs4,117,lux,2.4,13.55,3.9,04-01-2016 06:38,04-01-2016 06:39,23995,1459485480,1459485595,office A
30558,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 06:35,04-01-2016 06:39,23995,1459485318,1459485595,office A
30559,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 06:36,04-01-2016 06:39,23995,1459485392,1459485595,office A
30560,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 06:35,04-01-2016 06:39,23995,1459485355,1459485595,office A
30561,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 06:57,04-01-2016 06:59,25195,1459486632,1459486795,office B
30562,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 06:59,04-01-2016 06:59,25195,1459486750,1459486795,office B
30563,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 06:53,04-01-2016 06:59,25196,1459486402,1459486796,office A
30564,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 06:58,04-01-2016 06:59,25196,1459486707,1459486796,office A
30565,SGoAs4,illuminance at SGoAs4,114,lux,2.4,13.55,3.9,04-01-2016 06:52,04-01-2016 06:59,25196,1459486355,1459486796,office A
30566,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 06:56,04-01-2016 06:59,25196,1459486613,1459486796,office A
30567,SGoAs2,illuminance at SGoAs2,88,lux,2.4,13.55,0,04-01-2016 06:56,04-01-2016 06:59,25196,1459486586,1459486796,office A
30568,SGoAs1,illuminance at SGoAs1,121,lux,2.4,11.55,0,04-01-2016 06:56,04-01-2016 06:59,25196,1459486561,1459486796,office A
30569,SGoBs5,illuminance at SGoBs5,131,lux,2.4,4.05,0,04-01-2016 07:17,04-01-2016 07:19,26396,1459487829,1459487996,office B
30570,SGoBs4,illuminance at SGoBs4,125,lux,2.4,2.05,0,04-01-2016 07:16,04-01-2016 07:19,26396,1459487814,1459487996,office B
30571,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 07:07,04-01-2016 07:19,26397,1459487270,1459487997,office A
30572,SGoAs5,illuminance at SGoAs5,155,lux,2.4,11.55,3.9,04-01-2016 07:16,04-01-2016 07:19,26397,1459487800,1459487997,office A
30573,SGoAs4,illuminance at SGoAs4,117,lux,2.4,13.55,3.9,04-01-2016 07:13,04-01-2016 07:19,26397,1459487616,1459487997,office A
30574,SGoAs3,illuminance at SGoAs3,150,lux,2.4,17.6,1.45,04-01-2016 07:19,04-01-2016 07:19,26397,1459487967,1459487997,office A
30575,SGoAs2,illuminance at SGoAs2,94,lux,2.4,13.55,0,04-01-2016 07:15,04-01-2016 07:19,26397,1459487739,1459487997,office A
30576,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 07:17,04-01-2016 07:19,26397,1459487844,1459487997,office A
30577,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 07:32,04-01-2016 07:39,27597,1459488739,1459489197,office B
30578,SGoBs4,illuminance at SGoBs4,127,lux,2.4,2.05,0,04-01-2016 07:36,04-01-2016 07:39,27597,1459489011,1459489197,office B
30579,SGoAs6,illuminance at SGoAs6,131,lux,2.4,9.05,1.45,04-01-2016 07:36,04-01-2016 07:39,27597,1459488991,1459489197,office A
30580,SGoAs5,illuminance at SGoAs5,155,lux,2.4,11.55,3.9,04-01-2016 07:37,04-01-2016 07:39,27598,1459489051,1459489198,office A
30581,SGoAs4,illuminance at SGoAs4,118,lux,2.4,13.55,3.9,04-01-2016 07:33,04-01-2016 07:39,27598,1459488826,1459489198,office A
30582,SGoAs3,illuminance at SGoAs3,152,lux,2.4,17.6,1.45,04-01-2016 07:34,04-01-2016 07:39,27598,1459488890,1459489198,office A
