name,date,level
HUMIDITY,03-10-2016,72.25
HUMIDITY,03-11-2016,79.78
HUMIDITY,03-12-2016,80.76
HUMIDITY,03-13-2016,65.86
HUMIDITY,03-14-2016,67.02
HUMIDITY,03-15-2016,79.78
HUMIDITY,03-16-2016,69.07
HUMIDITY,03-17-2016,68.88
HUMIDITY,03-18-2016,70.9
HUMIDITY,03-19-2016,72.25
HUMIDITY,03-20-2016,65.86
HUMIDITY,03-21-2016,67.02
HUMIDITY,03-22-2016,79.78
HUMIDITY,03-23-2016,80.76
HUMIDITY,03-24-2016,72.32
HUMIDITY,03-25-2016,70.19
HUMIDITY,03-26-2016,71.04
HUMIDITY,03-27-2016,71.14
HUMIDITY,03-28-2016,79.78
HUMIDITY,03-29-2016,80.76
HUMIDITY,03-30-2016,72.32
HUMIDITY,03-31-2016,79.78
HUMIDITY,04-01-2016,80.76
HUMIDITY,04-02-2016,72.32
HUMIDITY,04-03-2016,70.19
HUMIDITY,04-04-2016,67.5
HUMIDITY,04-05-2016,67.5
HUMIDITY,04-06-2016,69.07
HUMIDITY,04-07-2016,68.88
HUMIDITY,04-08-2016,80.76
HUMIDITY,04-09-2016,72.32
HUMIDITY,04-10-2016,70.19
HUMIDITY,04-11-2016,67.02
HUMIDITY,04-12-2016,79.78
TEMPERATURE,02-23-2016,68.1
TEMPERATURE,02-24-2016,69.07
TEMPERATURE,02-25-2016,72.21
TEMPERATURE,02-26-2016,70.07
TEMPERATURE,02-27-2016,69.49
TEMPERATURE,02-28-2016,67.03
TEMPERATURE,02-29-2016,79.75
TEMPERATURE,03-01-2016,80.74
TEMPERATURE,03-02-2016,72.21
TEMPERATURE,03-03-2016,70.07
TEMPERATURE,03-04-2016,69.49
TEMPERATURE,03-05-2016,71.03
TEMPERATURE,03-06-2016,71.14
TEMPERATURE,03-07-2016,72.21
TEMPERATURE,03-08-2016,67.03
TEMPERATURE,03-09-2016,79.75
TEMPERATURE,03-10-2016,80.74
TEMPERATURE,03-11-2016,70.07
TEMPERATURE,03-12-2016,69.49
TEMPERATURE,03-13-2016,68.1
TEMPERATURE,03-14-2016,69.07
TEMPERATURE,03-15-2016,68.86
TEMPERATURE,03-16-2016,65.87
TEMPERATURE,03-17-2016,67.03
TEMPERATURE,03-18-2016,79.75
TEMPERATURE,03-19-2016,80.74
TEMPERATURE,03-20-2016,68.1
TEMPERATURE,03-21-2016,69.07
TEMPERATURE,03-22-2016,68.86
TEMPERATURE,03-23-2016,70.91
TEMPERATURE,03-24-2016,72.24
TEMPERATURE,03-25-2016,65.87
TEMPERATURE,03-26-2016,80.74
TEMPERATURE,03-27-2016,72.21
TEMPERATURE,03-28-2016,70.07
TEMPERATURE,03-29-2016,69.49
TEMPERATURE,03-30-2016,71.03
TEMPERATURE,03-31-2016,80.74
TEMPERATURE,04-01-2016,67.03
TEMPERATURE,04-02-2016,79.75
TEMPERATURE,04-03-2016,80.74
TEMPERATURE,04-04-2016,68.1
TEMPERATURE,04-05-2016,69.07
TEMPERATURE,04-06-2016,68.86
TEMPERATURE,04-07-2016,70.91
TEMPERATURE,04-08-2016,67.03
TEMPERATURE,04-09-2016,79.75
TEMPERATURE,04-10-2016,80.74
TEMPERATURE,04-11-2016,79.75
TEMPERATURE,04-12-2016,80.74
PRESSURE,02-23-2016,106.7
PRESSURE,02-24-2016,972.21
PRESSURE,02-25-2016,268.9
PRESSURE,02-26-2016,239.96
PRESSURE,02-27-2016,83.13
PRESSURE,02-28-2016,89.41
PRESSURE,02-29-2016,83.31
PRESSURE,03-01-2016,106.7
PRESSURE,03-02-2016,972.21
PRESSURE,03-03-2016,702.71
PRESSURE,03-04-2016,575.65
PRESSURE,03-05-2016,340.8
PRESSURE,03-06-2016,391.36
PRESSURE,03-07-2016,277.46
PRESSURE,03-08-2016,83.13
PRESSURE,03-09-2016,89.41
PRESSURE,03-10-2016,83.31
PRESSURE,03-11-2016,702.71
PRESSURE,03-12-2016,575.65
PRESSURE,03-13-2016,217.86
PRESSURE,03-14-2016,412.51
PRESSURE,03-15-2016,106.7
PRESSURE,03-16-2016,239.96
PRESSURE,03-17-2016,83.13
PRESSURE,03-18-2016,89.41
PRESSURE,03-19-2016,83.31
PRESSURE,03-20-2016,217.86
PRESSURE,03-21-2016,412.51
PRESSURE,03-22-2016,106.7
PRESSURE,03-23-2016,972.21
PRESSURE,03-24-2016,702.71
PRESSURE,03-25-2016,575.65
PRESSURE,03-26-2016,340.8
PRESSURE,03-27-2016,268.9
PRESSURE,03-28-2016,239.96
PRESSURE,03-29-2016,83.13
PRESSURE,03-30-2016,89.41
PRESSURE,03-31-2016,575.65
PRESSURE,04-01-2016,340.8
PRESSURE,04-02-2016,391.36
PRESSURE,04-03-2016,277.46
PRESSURE,04-04-2016,217.86
PRESSURE,04-05-2016,412.51
PRESSURE,04-06-2016,340.8
PRESSURE,04-07-2016,391.36
PRESSURE,04-08-2016,340.8
PRESSURE,04-09-2016,391.36
PRESSURE,04-10-2016,277.46
PRESSURE,04-11-2016,702.71
PRESSURE,04-12-2016,575.65
PROXIMITY,02-23-2016,5
PROXIMITY,02-24-2016,70.77
PROXIMITY,02-25-2016,83
PROXIMITY,02-26-2016,94
PROXIMITY,02-27-2016,50
PROXIMITY,02-28-2016,48
PROXIMITY,02-29-2016,26
PROXIMITY,03-01-2016,35
PROXIMITY,03-02-2016,60
PROXIMITY,03-03-2016,73
PROXIMITY,03-04-2016,15
PROXIMITY,03-05-2016,5
PROXIMITY,03-06-2016,70.77
PROXIMITY,03-07-2016,100
PROXIMITY,03-08-2016,26
PROXIMITY,03-09-2016,35
PROXIMITY,03-10-2016,60
PROXIMITY,03-11-2016,73
PROXIMITY,03-12-2016,15
PROXIMITY,03-13-2016,73
PROXIMITY,03-14-2016,15
PROXIMITY,03-15-2016,23
PROXIMITY,03-16-2016,48
PROXIMITY,03-17-2016,26
PROXIMITY,03-18-2016,35
PROXIMITY,03-19-2016,60
PROXIMITY,03-20-2016,73
PROXIMITY,03-21-2016,15
PROXIMITY,03-22-2016,23
PROXIMITY,03-23-2016,83
PROXIMITY,03-24-2016,94
PROXIMITY,03-25-2016,5
PROXIMITY,03-26-2016,70.77
PROXIMITY,03-27-2016,100
PROXIMITY,03-28-2016,20
PROXIMITY,03-29-2016,35
PROXIMITY,03-30-2016,60
PROXIMITY,03-31-2016,70.77
PROXIMITY,04-01-2016,100
PROXIMITY,04-02-2016,20
PROXIMITY,04-03-2016,35
PROXIMITY,04-04-2016,15
PROXIMITY,04-05-2016,23
PROXIMITY,04-06-2016,83
PROXIMITY,04-07-2016,94
PROXIMITY,04-08-2016,100
PROXIMITY,04-09-2016,20
PROXIMITY,04-10-2016,35
PROXIMITY,04-11-2016,5
PROXIMITY,04-12-2016,70.77
